"REF_DATE","GEO","DGUID","Estimate","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-03","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18221173","B","","","0"
"2025-04","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18235809","B","","","0"
"2025-05","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18254276","B","","","0"
"2025-06","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18245175","B","","","0"
"2025-07","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18266754","B","","","0"
"2025-03","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","219717","B","","","0"
"2025-04","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","220484","B","","","0"
"2025-05","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","221201","B","","","0"
"2025-06","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","221881","B","","","0"
"2025-07","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","223573","B","","","0"
"2025-03","Prince Edward Island","2021A000211","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310827","3.1.1","77813","B","","","0"
"2025-04","Prince Edward Island","2021A000211","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310827","3.1.1","78101","B","","","0"
"2025-05","Prince Edward Island","2021A000211","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310827","3.1.1","79416","B","","","0"
"2025-06","Prince Edward Island","2021A000211","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310827","3.1.1","80225","B","","","0"
"2025-07","Prince Edward Island","2021A000211","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310827","3.1.1","79093","B","","","0"
"2025-03","Nova Scotia","2021A000212","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310854","4.1.1","460911","B","","","0"
"2025-04","Nova Scotia","2021A000212","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310854","4.1.1","460993","B","","","0"
"2025-05","Nova Scotia","2021A000212","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310854","4.1.1","462626","B","","","0"
"2025-06","Nova Scotia","2021A000212","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310854","4.1.1","465433","B","","","0"
"2025-07","Nova Scotia","2021A000212","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310854","4.1.1","466316","B","","","0"
"2025-03","New Brunswick","2021A000213","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310881","5.1.1","363626","B","","","0"
"2025-04","New Brunswick","2021A000213","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310881","5.1.1","364076","B","","","0"
"2025-05","New Brunswick","2021A000213","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310881","5.1.1","364550","B","","","0"
"2025-06","New Brunswick","2021A000213","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310881","5.1.1","364334","B","","","0"
